"201220",1513,2713,2118,1154,868,1462,292,105,134,128,133,129,166,24,9,76,119,59,130,86,51,1,1,14,3,4,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11499,437
"201221",1575,3031,1104,1182,1045,793,418,208,231,140,121,35,24,18,17,10,31,25,98,90,1,0,70,50,71,20,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10411,323
"201222",1259,2343,1944,945,576,750,273,119,227,40,116,24,80,2,5,27,17,103,44,8,2,39,83,53,3,0,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9090,377
"201223",520,1681,815,643,320,412,241,233,162,114,95,148,13,48,22,25,6,16,1,27,2,1,10,2,1,5,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5571,271
"201224",517,1472,969,468,451,203,81,172,114,42,83,28,188,35,10,9,2,1,25,2,1,4,0,1,5,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4889,215
"201225",366,935,873,193,193,177,298,102,72,67,7,14,47,56,1,0,24,17,3,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453,162
"201226",315,617,364,190,318,67,120,32,62,10,35,17,0,2,1,40,35,5,0,10,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,169
"201227",151,426,169,209,108,103,50,89,30,29,51,2,11,5,0,59,9,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,148
"201228",35,201,184,148,86,119,62,9,7,27,6,30,25,3,52,11,1,3,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,147
"201229",219,149,130,70,75,60,14,5,24,3,16,1,2,18,4,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,94
